# The ROUTINE registry — every routine the portal knows, measured or not yet.
# Columns: lane <TAB> routine <TAB> class <TAB> population <TAB> exercises
#   lane        the bench directory (bench/<lane>) or package lane that prints the row
#   population  engine  — a synthetic program that measures the ENGINE (informational)
#               stdlib  — a routine of the standard library, on a workload a program runs
#               library:<name> — a `pub fn` of a shipped library
#               consumer:<project> — a hot loop of a real loft program, MODELLED here at its
#                 own data layout and sizes (the program itself is never run by the bench)
#   exercises   what a reader should know the row stands for
# A routine a lane prints and this file lacks is reported by the portal as UNCLASSIFIED.
15_stdlib_keyed	hash_fill	keyed	stdlib	`hash<E[id]>` filled from empty, 5k integer keys
15_stdlib_keyed	hash_find	keyed	stdlib	10k lookups, half of them misses
15_stdlib_keyed	hash_update	keyed	stdlib	a lookup followed by a field write
15_stdlib_keyed	hash_remove	keyed	stdlib	fill, remove every second key, count
15_stdlib_keyed	hash_text_keys	keyed	stdlib	find-or-insert and lookup on 2,000 text keys
15_stdlib_keyed	sorted_fill_walk	keyed	stdlib	`sorted<ES[id]>` (inline elements) filled out of order, walked in order
15_stdlib_keyed	index_fill_find	keyed	stdlib	`index<EI[id]>` filled out of order, then found in
15_stdlib_keyed	grouped_fill_find	keyed	stdlib	a `vector` + `hash` group over one record set: filled through the vector, found through the hash
drawing	hash	float-kernel	library:drawing	seeded noise hash, 100k samples
drawing	hair	vector-write	library:drawing	hair brush footprint
drawing	smooth	record-build	library:drawing	Catmull-Rom smoothing of a point list
drawing	fronds	record-build	library:drawing	fractal fronds: records with vector fields appended
drawing	lock	vector-write	library:drawing	brush-lock raster
drawing	lock_curved	vector-write	library:drawing	brush-lock raster along a curve
drawing	composite	vector-write	library:drawing	layer compositing: read, blend, write per pixel
drawing	fill_circle	vector-write	library:drawing	polygon scanline fill
drawing	fill_star	vector-write	library:drawing	polygon scanline fill, concave
drawing	wide_line	record-field	library:drawing	wide line through the polygon crossing table
drawing	parse	alloc-temp	library:drawing	scene text to records: scan, split, records handed between helpers
drawing	render_lock	vector-read	library:drawing	render + Lanczos resample
drawing	render_marks	vector-read	library:drawing	render + Lanczos resample
drawing	resize	vector-read	library:drawing	Lanczos resample 1024 to 256
16_consumer_shapes	tuple_kernel	float-kernel	consumer:crawler	`ov_sample`: a leaf returning a TUPLE, scanning a polyline of records, 1,024 cells
16_consumer_shapes	fov_rays	vector-write	consumer:crawler	`sim_compute_fov`: cells in a radius, a short ray each, flags written
16_consumer_shapes	bfs_flow	vector-write	consumer:crawler	`compute_flow`: a BFS over a flat vector, six TUPLE-returning neighbour probes per cell
16_consumer_shapes	entity_tick	record-field	consumer:crawler	`sim_tick`: a record copied out, mutated, written back, with an O(N) scan of the same vector
16_consumer_shapes	chunk_lookup	record-field	consumer:moros	`map_get_hex` / `map_set_hex`: a linear chunk scan, then a record in a vector in a record
16_consumer_shapes	mesh_emit	record-build	consumer:moros	`build_hex_meshes`: NESTED records (`Vec3 + Vec3 + Vec2`) appended, 7 vertices + 6 triangles per hex
16_consumer_shapes	mesh_aabb	record-field	consumer:moros	`mesh_aabb`: a min/max over NESTED fields (`v.pos.x / .y / .z`) of 7,168 vertices
16_consumer_shapes	enum_match	record-field	consumer:moros	`EditKind`: 3,000 struct-ENUM values built, then matched and destructured
16_consumer_shapes	composite_hash	keyed	consumer:dryopea	`paint_line`: a hash on a COMPOSITE two-integer key — find-or-insert, removal by null, probes
16_consumer_shapes	f32_build	vector-build	consumer:crawler	`emit_hex_tris`: `vector<single>` built six values at a time, 331,776 pushes
16_consumer_shapes	catalog_churn	alloc-temp	consumer:crawler	`game_items`: a 64-record catalogue with text fields REBUILT on every call, one field read
gridmesh	collect_dirty_inputs	keyed	library:gridmesh	halo-cell hash lookups plus a seen-set insert per dirty chunk
gridmesh	build_index	keyed	library:gridmesh	100,000 dedup-inserts of a record into a hash
gridmesh	field_add_cell	keyed	library:gridmesh	a paint: an insert, a bucket probe and append, border dedup-inserts
gridmesh	emit_segment	vector-build	library:gridmesh	nine parallel narrow-vector appends per segment
text2d	write_text	call	library:text2d	one set_pixel call per lit sub-pixel of every glyph
text2d	atlas_cell	keyed	library:text2d	a linear scan of the atlas codes per character
text2d	layout	record-build	library:text2d	one Quad record appended per character
text2d	draw_quads	vector-read	library:text2d	get_pixel on the atlas and set_pixel on the target per texel
tween	value	call	library:tween	progress, ease and lerp: three calls and a record read per number
tween	ease	float-kernel	library:tween	an 11-arm match with cos, pow, sin and sqrt
random	rand	native-boundary	library:random	the minimum crossing: two integers in, one out
random	rand_indices	native-boundary	library:random	a crossing that builds and returns a store vector
random	get	int-loop	library:random	a combined LCG in loft: two divisions and two field writes per draw
random	indices	vector-write	library:random	Fisher-Yates: two indexed reads and two writes per step
markdown	render_inline	text-build	library:markdown	a 1-character text built and appended per character, recursing per span
markdown	html_escape	text-build	library:markdown	a character walk appending an entity or the character
markdown	slugify	alloc-temp	library:markdown	a 1-character text and its lowercased copy per uppercase byte
markdown	extract_headings	record-build	library:markdown	a 3-field record with two built texts appended per heading
markdown	render	text-build	library:markdown	the block state machine over a 107 KiB document
html	escape_html	text-build	library:html	one per-character append loop over a 120-byte text
html	escape_html_blob	text-build	library:html	the same loop over a 64 KiB blob
time	parse	text-scan	library:time	an ISO timestamp parsed with a whole-text digit walk per field
time	format_iso	text-build	library:time	three zero-padded interpolations through two helpers
time	day	int-loop	library:time	civil-date arithmetic: two helper hops, four divisions, a tuple
time	iso_week	int-loop	library:time	the ISO week: four helpers deep
fixstep	clock_pump	call	library:fixstep	three frames deep for about six integer operations
fixstep	clock_advance	int-loop	library:fixstep	divisions, two field writes and a nested call per frame
fixstep	timer_spend	record-field	library:fixstep	two fields read and written behind three branches per timer per tick
fixstep	approach	float-kernel	library:fixstep	one exp per eased value per frame
web	pack_u8	native-boundary	library:web	one cdylib crossing per byte packed: the calibration constant
web	byte_at	native-boundary	library:web	one cdylib crossing per byte read
ssh	byte_at	native-boundary	library:ssh	one cdylib crossing per received byte; the callee is one load
